Date,Incidents
1/1/1990,872.67
1/1/1991,862.42
1/1/1992,854.14
1/1/1993,847.84
1/1/1994,843.66
1/1/1995,841.74
1/1/1996,843.54
1/1/1997,849.28
1/1/1998,856.36
1/1/1999,861.81
1/1/2000,864.04
1/1/2001,864.07
1/1/2002,863.27
1/1/2003,861.66
1/1/2004,859.49
1/1/2005,856.93
1/1/2006,852.59
1/1/2007,845.82
1/1/2008,837.93
1/1/2009,830.26
1/1/2010,824.12
1/1/2011,817.83
1/1/2012,809.95
1/1/2013,802.18
1/1/2014,796.24
1/1/2015,793.87
1/1/2016,815.62
1/1/2017,837.94
1/1/2018,836.6
1/1/2014,827.83
