Date,IncidentsUkraine
1/1/1990,297.97
1/1/1991,292.57
1/1/1992,288.65
1/1/1993,286.05
1/1/1994,284.62
1/1/1995,284.21
1/1/1996,286.61
1/1/1997,292.31
1/1/1998,299.16
1/1/1999,305.02
1/1/2000,307.74
1/1/2001,307.83
1/1/2002,307.35
1/1/2003,306.52
1/1/2004,305.54
1/1/2005,304.62
1/1/2006,303.14
1/1/2007,300.73
1/1/2008,298
1/1/2009,295.53
1/1/2010,293.92
1/1/2011,292.66
1/1/2012,291.09
1/1/2013,289.58
1/1/2014,288.48
1/1/2015,288.15
1/1/2016,303.01
1/1/2017,318.11
1/1/2018,318.16
1/1/2019,314.98
