date,cetes
27/02/22,32
06/03/22,31
13/03/22,33
20/03/22,30
27/03/22,32
03/04/22,33
10/04/22,31
17/04/22,33
24/04/22,33
01/05/22,36
08/05/22,36
15/05/22,36
22/05/22,29
29/05/22,36
05/06/22,39
12/06/22,41
19/06/22,45
26/06/22,46
03/07/22,46
10/07/22,45
17/07/22,45
24/07/22,45
31/07/22,46
07/08/22,48
14/08/22,50
21/08/22,48
28/08/22,43
04/09/22,45
11/09/22,42
18/09/22,41
25/09/22,53
02/10/22,53
09/10/22,46
16/10/22,47
23/10/22,43
30/10/22,48
06/11/22,56
13/11/22,55
20/11/22,38
27/11/22,45
04/12/22,52
11/12/22,53
18/12/22,55
25/12/22,66
01/01/23,100
08/01/23,85
15/01/23,83
22/01/23,75
29/01/23,79
05/02/23,79
12/02/23,70
19/02/23,75
