date,inflacion
27/02/22,52
06/03/22,59
13/03/22,61
20/03/22,67
27/03/22,75
03/04/22,64
10/04/22,44
17/04/22,47
24/04/22,63
01/05/22,66
08/05/22,68
15/05/22,58
22/05/22,51
29/05/22,53
05/06/22,55
12/06/22,52
19/06/22,61
26/06/22,55
03/07/22,60
10/07/22,85
17/07/22,76
24/07/22,56
31/07/22,50
07/08/22,66
14/08/22,53
21/08/22,63
28/08/22,71
04/09/22,68
11/09/22,59
18/09/22,53
25/09/22,65
02/10/22,63
09/10/22,57
16/10/22,56
23/10/22,51
30/10/22,51
06/11/22,68
13/11/22,58
20/11/22,49
27/11/22,67
04/12/22,62
11/12/22,54
18/12/22,50
25/12/22,47
01/01/23,100
08/01/23,94
15/01/23,66
22/01/23,69
29/01/23,66
05/02/23,59
12/02/23,64
19/02/23,55
